name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033830053|22 01 39.33|-61 38 52.3|2015-12-12T21:52:57|2015-12-22T00:00:00|  1778.50200|   1743.65300|  1793.00000|  2015-12-23| 4.3446
ASASSN-15lh             |00033886032|22 02 18.88|-61 38 52.0|2016-05-19T22:03:58|2016-05-29T00:00:00|  1308.27400|   1274.26900|  1321.00000|  2016-05-30| 0.8191
ASASSN-15lh             |00033886056|22 02 05.54|-61 38 50.0|2016-09-01T18:41:57|2016-09-11T00:00:00|  1256.13600|   1216.57800|  1264.00000|  2016-09-12| 1.3913
ASASSN-15lh             |00033874004|22 01 33.55|-61 38 47.1|2015-08-07T01:09:58|2015-08-17T00:00:00|  4744.86300|   4665.07100|  4764.00000|  2015-08-18| 5.0362
ASASSN-15lh             |00034112001|22 02 05.78|-61 38 45.9|2015-10-21T04:54:58|2015-10-31T00:00:00|  1988.28700|   1951.00700|  1999.00000|  2015-11-01| 1.4053
ASASSN-15lh             |00033886064|22 01 59.41|-61 38 45.4|2016-10-26T00:16:58|2016-11-05T00:00:00|  2874.80300|   2771.90000|  2911.00000|  2016-11-06| 2.0727
ASASSN-15lh             |00033886058|22 01 58.61|-61 38 43.6|2016-09-14T11:14:58|2016-09-24T00:00:00|  2283.31200|   2216.03900|  2312.00000|  2016-09-25| 2.1716
ASASSN-15lh             |00033886063|22 01 58.90|-61 38 41.1|2016-10-21T11:35:58|2016-10-31T00:00:00|  3910.11600|   3817.13600|  3937.00000|  2016-11-01| 2.1577
ASASSN-15lh             |00033830046|22 02 02.25|-61 38 35.4|2015-10-16T06:31:58|2015-10-26T00:00:00|  2329.28400|   2239.08800|  2341.00000|  2015-10-27| 1.8515
ASASSN-15lh             |00033886055|22 02 08.85|-61 38 33.0|2016-08-30T09:36:58|2016-09-09T00:00:00|  1775.16000|   1738.49000|  1787.00000|  2016-09-10| 1.2924
ASASSN-15lh             |00033874003|22 02 18.18|-61 38 31.1|2015-07-23T01:56:57|2015-08-02T00:00:00|  4654.98000|   4473.15300|  4693.00000|  2015-08-03| 1.1079
ASASSN-15lh             |00033886046|22 02 14.77|-61 38 30.9|2016-08-01T11:55:58|2016-08-11T00:00:00|  4298.90300|   4228.57500|  4323.00000|  2016-08-12| 1.0653
ASASSN-15lh             |00033830035|22 01 52.97|-61 38 29.0|2015-09-03T15:28:58|2015-09-13T00:00:00|  2223.96100|   2145.63900|  2240.00000|  2015-09-14| 2.8832
ASASSN-15lh             |00033886072|22 01 44.92|-61 38 28.7|2016-12-08T12:51:58|2016-12-18T00:00:00|  2156.78800|   2086.78800|  2183.00000|  2016-12-19| 3.7869
ASASSN-15lh             |00033830008|22 02 20.93|-61 38 28.2|2015-07-11T16:58:58|2015-07-21T00:00:00|   728.18100|    705.20300|   729.00000|  2015-07-22| 1.2847
ASASSN-15lh             |00033886011| 22 02 26.1|-61 38 28.0|2016-02-09T14:42:08|2016-02-19T00:00:00|  3216.85200|   3141.00600|  3237.00000|  2016-02-20| 1.6754
