name        |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
BRUTUS6984_2|00033539079|12 48 18.70|17 47 12.9|2015-12-22T01:44:28|2016-01-01T00:00:00|  1937.80300|   1894.57300|  1956.00000|  2016-01-02| 1.1321
BRUTUS6984_2|00033539008| 12 48 24.9|17 47 16.8|2014-12-19T18:58:59|2018-03-19T00:00:00|  3056.39800|   3016.00400|  3082.00000|  2014-12-30| 2.2690
BRUTUS6984_2|00033539024|12 48 17.90|17 47 18.8|2015-02-06T18:58:59|2015-02-16T00:00:00|  2573.14500|   2498.35100|  2592.00000|  2015-02-17| 1.0802
ASASSN-14LI |00095140006|12 48 07.17|17 47 19.2|2019-04-30T06:34:35|2019-05-10T00:00:00|   999.26100|    943.18200|  1018.00000|  2019-05-11| 2.1111
BRUTUS6984_2|00033539010|12 48 17.12|17 47 24.6|2014-12-25T01:09:59|2018-03-19T00:00:00|  2839.66100|   2785.87700|  2851.00000|  2015-01-05| 1.0672
BRUTUS6984_2|00033539082|12 48 10.41|17 47 31.4|2016-01-24T10:37:58|2016-02-03T00:00:00|  1773.87700|   1712.05400|  1795.00000|  2016-02-04| 1.5777
BRUTUS6984_2|00033539067|12 48 11.67|17 47 45.4|2015-08-08T01:51:58|2015-08-18T00:00:00|  2436.05700|   2401.12700|  2449.00000|  2015-08-19| 1.5655
BRUTUS6984_2|00033539100|12 48 17.14|17 47 48.3|2017-03-07T14:16:57|2017-03-17T00:00:00|   608.16700|    584.09500|   614.00000|  2017-03-18| 1.4378
BRUTUS6984_2|00033539101|12 48 13.80|17 47 49.2|2017-03-08T09:29:56|2017-03-18T00:00:00|  1917.97500|   1867.41200|  1930.00000|  2017-03-19| 1.4202
BRUTUS6984_2|00033539004|12 48 13.97|17 47 53.1|2014-12-07T05:20:41|2018-03-18T00:00:00|  2963.76800|   2949.45300|  3001.00000|  2014-12-18| 1.4755
BRUTUS6984_2|00033539064|12 48 06.13|17 47 53.2|2015-07-27T08:53:58|2015-08-06T00:00:00|   958.18300|    940.39000|   965.00000|  2015-08-07| 2.6056
BRUTUS6984_2|00033539006|12 48 18.38|17 47 55.2|2014-12-13T02:59:59|2018-03-18T00:00:00|  1203.49000|   1163.09000|  1215.00000|  2014-12-24| 1.6574
BRUTUS6984_2|00033539003|12 48 11.87|17 47 55.9|2014-12-04T06:25:59|2018-03-18T00:00:00|  3008.76600|   2955.75300|  3021.00000|  2014-12-15| 1.6919
BRUTUS6984_2|00033539021| 12 48 24.8|17 47 58.4|2015-01-29T11:01:58|2015-02-08T00:00:00|  2350.47500|   2275.40800|  2369.00000|  2015-02-09| 2.6050
BRUTUS6984_2|00033539023|12 48 23.52|17 47 59.6|2015-02-04T12:23:59|2015-02-14T00:00:00|  2918.48500|   2868.81200|  2935.00000|  2015-02-15| 2.5097
BRUTUS6984_2|00033539074| 12 48 18.9|17 48 04.3|2015-12-07T21:47:58|2015-12-17T00:00:00|  2504.11300|   2465.31600|  2514.00000|  2015-12-18| 1.7666
BRUTUS6984_2|00033539026|12 48 12.31|17 48 04.4|2015-02-15T18:24:59|2015-02-25T00:00:00|  1587.12100|   1560.83700|  1593.00000|  2015-02-26| 1.7746
BRUTUS6984_2|00033539063|12 48 00.55|17 48 12.6|2015-07-23T05:52:58|2015-08-02T00:00:00|  2012.83100|   1958.55300|  2031.00000|  2015-08-03| 3.9168
BRUTUS6984_2|00033539102|12 48 10.53|17 48 18.3|2017-03-09T17:25:58|2017-03-19T00:00:00|  1694.92600|   1645.00800|  1710.00000|  2017-03-20| 2.1740
BRUTUS6984_2|00033539099| 12 48 22.6|17 48 18.7|2016-11-26T00:00:58|2016-12-06T00:00:00|  2419.24200|   2455.79500|  2504.00000|  2016-12-07| 2.4786
BRUTUS6984_2|00033539073|12 48 17.69|17 48 20.2|2015-12-04T04:13:58|2015-12-14T00:00:00|  1980.72500|   1945.65600|  1992.00000|  2015-12-15| 1.9838
BRUTUS6984_2|00033539002|12 48 16.57|17 48 25.7|2014-12-02T20:59:58|2018-03-18T00:00:00|  2822.92700|   2773.11200|  2836.00000|  2014-12-13| 2.0127
BRUTUS6984_2|00033539071|12 48 15.29|17 48 28.8|2015-11-28T15:45:57|2015-12-08T00:00:00|  2480.64500|   2441.70600|  2494.00000|  2015-12-09| 2.0383
BRUTUS6984_2|00033539075|12 48 12.79|17 50 05.4|2015-12-10T21:25:58|2015-12-20T00:00:00|  2502.44800|   2465.20600|  2515.00000|  2015-12-21| 3.6949
BRUTUS6984_2|00033539072|12 48 09.78|17 51 35.4|2015-12-01T07:41:58|2015-12-11T00:00:00|  2451.62200|   2415.60300|  2465.00000|  2015-12-12| 5.3100

Number of rows:    131
Number of columns: 11


---- Messages ----
----
Info: Search Radius
Search radius: 25' from swiftmastr
----
----
Info: Name resolution
Position ASASSN-14li corresponds to J2000 decimal coordinates:192.063464 17.774016
----
