obsid|status    |name                |ra         |dec       |time               |detector|grating|exposure|type|pi         |public_date|_offset
17686|archived  |abell 1795          |13 48 52.70|26 35 27.0|2015-07-20T12:29:42|ACIS-S  |NONE   |  10060.|CAL |Calibration| 2015-07-21| 0.8098
18423|archived  |A1795               |13 48 52.70|26 35 27.0|2015-12-06T22:32:38|ACIS-S  |NONE   |  10050.|CAL |Calibration| 2015-12-07| 0.8098
18424|archived  |A1795               |13 48 52.70|26 35 27.0|2015-12-03T12:00:28|ACIS-I  |NONE   |  15550.|CAL |Calibration| 2015-12-04| 0.8098
18425|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-08T07:38:54|ACIS-S  |NONE   |  10060.|CAL |Calibration| 2016-04-09| 0.8098
18426|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-08T15:10:16|ACIS-S  |NONE   |  10060.|CAL |Calibration| 2016-04-09| 0.8098
18427|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-08T18:19:21|ACIS-I  |NONE   |  15050.|CAL |Calibration| 2016-04-10| 0.8098
18428|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-07T13:17:44|ACIS-I  |NONE   |  14900.|CAL |Calibration| 2016-04-08| 0.8098
18429|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-08T22:56:38|ACIS-I  |NONE   |  14770.|CAL |Calibration| 2016-04-11| 0.8098
18430|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-09T14:43:05|ACIS-I  |NONE   |  15050.|CAL |Calibration| 2016-04-10| 0.8098
18431|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-10T01:05:00|ACIS-I  |NONE   |  14210.|CAL |Calibration| 2016-04-11| 0.8098
18432|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-12T01:48:26|ACIS-I  |NONE   |  15080.|CAL |Calibration| 2016-04-13| 0.8098
18433|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-12T06:19:35|ACIS-S  |NONE   |  10060.|CAL |Calibration| 2016-04-13| 0.8098
18434|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-12T09:33:21|ACIS-I  |NONE   |  15370.|CAL |Calibration| 2016-04-13| 0.8098
18435|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-14T02:25:11|ACIS-I  |NONE   |  14350.|CAL |Calibration| 2016-04-15| 0.8098
18436|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-15T04:36:04|ACIS-I  |NONE   |  15050.|CAL |Calibration| 2016-04-15| 0.8098
18437|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-16T19:31:05|ACIS-I  |NONE   |  15070.|CAL |Calibration| 2016-04-19| 0.8098
18438|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-17T00:12:08|ACIS-I  |NONE   |  14770.|CAL |Calibration| 2016-04-17| 0.8098
18439|archived  |A1795               |13 48 52.70|26 35 27.0|2016-04-17T04:30:38|ACIS-I  |NONE   |  14780.|CAL |Calibration| 2016-04-17| 0.8098
19868|archived  |A1795               |13 48 52.70|26 35 27.0|2016-11-23T13:52:19|ACIS-S  |NONE   |  16080.|CAL |Calibration| 2016-11-24| 0.8098
19869|archived  |A1795               |13 48 52.70|26 35 27.0|2016-11-25T17:13:02|ACIS-I  |NONE   |  20560.|CAL |Calibration| 2016-12-06| 0.8098
19870|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-08T16:27:56|ACIS-I  |NONE   |  19790.|CAL |Calibration| 2017-04-09| 0.8098
19871|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-05T19:25:21|ACIS-I  |NONE   |  25180.|CAL |Calibration| 2017-04-06| 0.8098
19872|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-03T17:00:29|ACIS-I  |NONE   |  24080.|CAL |Calibration| 2017-04-13| 0.8098
19873|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-09T12:47:30|ACIS-I  |NONE   |  24770.|CAL |Calibration| 2017-04-10| 0.8098
19874|archived  |A1795               |13 48 52.70|26 35 27.0|2017-04-18T20:37:53|ACIS-I  |NONE   |  25060.|CAL |Calibration| 2017-04-19| 0.8098
